Word                     	Lemmatized               	           Frequency
design                   	design                   	                   7
tool                     	tool                     	                   7
benefit                  	benefit                  	                   7
mRI                      	mRI                      	                   7
assessment               	assessment               	                   7
decreased                	decrease                 	                   7
controlled               	control                  	                   7
regulation               	regulation               	                   7
technology               	technology               	                   7
influenza                	influenza                	                   7
year                     	year                     	                   7
secondary                	secondary                	                   7
younger                  	young                    	                   7
old                      	old                      	                   7
oR                       	oR                       	                   7
body                     	body                     	                   7
produced                 	produce                  	                   7
network                  	network                  	                   7
trial                    	trial                    	                   7
person                   	person                   	                   7
nasal                    	nasal                    	                   7
animals                  	animal                   	                   7
individual               	individual               	                   7
real                     	real                     	                   7
conductivity             	conductivity             	                   7
gratitude                	gratitude                	                   7
regression               	regression               	                   7
suggested                	suggest                  	                   7
employed                 	employ                   	                   7
sensitive                	sensitive                	                   7
cm                       	cm                       	                   7
endoscope                	endoscope                	                   7
reduction                	reduction                	                   7
mode                     	mode                     	                   7
aL                       	aL                       	                   7
reported                 	report                   	                   7
zIF                      	zIF                      	                   7
znO50                    	znO50                    	                   7
numerous                 	numerous                 	                   7
sponge                   	sponge                   	                   7
replication              	replication              	                   7
injections               	injection                	                   7
pCMs                     	pCMs                     	                   7
vaping                   	vaping                   	                   7
mESHD013213              	mESHD013213              	                   7
chinese                  	chinese                  	                   7
indicators               	indicator                	                   7
corn                     	corn                     	                   7
stalk                    	stalk                    	                   7
yield                    	yield                    	                   7
cD47                     	cD47                     	                   7
mESHD004317              	mESHD004317              	                   7
iBS                      	iBS                      	                   7
genes                    	gene                     	                   7
lN                       	lN                       	                   7
mESHD009573              	mESHD009573              	                   7
sLip                     	sLip                     	                   7
surgical                 	surgical                 	                   6
widely                   	widely                   	                   6
describe                 	describe                 	                   6
cavity                   	cavity                   	                   6
antibody                 	antibody                 	                   6
dependent                	dependent                	                   6
composed                 	compose                  	                   6
nCBIGene2064             	nCBIGene2064             	                   6
hydration                	hydration                	                   6
ion                      	ion                      	                   6
wa                       	wa                       	                   6
find                     	find                     	                   6
computational            	computational            	                   6
phosphite                	phosphite                	                   6
rCaIFNalpha              	rCaIFNalpha              	                   6
amino                    	amino                    	                   6
responses                	response                 	                   6
infiltration             	infiltration             	                   6
oxidation                	oxidation                	                   6
explore                  	explore                  	                   6
sCT                      	sCT                      	                   6
40                       	40                       	                   6
localpdb                 	localpdb                 	                   6
along                    	along                    	                   6
direct                   	direct                   	                   6
dM                       	dM                       	                   6
compare                  	compare                  	                   6
confirmed                	confirm                  	                   6
eEG                      	eEG                      	                   6
signal                   	signal                   	                   6
world                    	world                    	                   6
increasing               	increase                 	                   6
blood                    	blood                    	                   6
physicians               	physician                	                   6
purpose                  	purpose                  	                   6
presented                	present                  	                   6
15th                     	15th                     	                   6
2020                     	2020                     	                   6
sample                   	sample                   	                   6
toxic                    	toxic                    	                   6
sequence                 	sequence                 	                   6
observed                 	observe                  	                   6
professionals            	professional             	                   6
rater                    	rater                    	                   6
sCIM                     	sCIM                     	                   6
individuals              	individual               	                   6
communities              	community                	                   6
30                       	30                       	                   6
nCBIGene230796           	nCBIGene230796           	                   6
nCBIGene80381            	nCBIGene80381            	                   6
metabolic                	metabolic                	                   6
disease                  	disease                  	                   6
13                       	13                       	                   6
enzymes                  	enzyme                   	                   6
possible                 	possible                 	                   6
dimer                    	dimer                    	                   6
terms                    	term                     	                   6
mol                      	mol                      	                   6
mESHD006859              	mESHD006859              	                   6
key                      	key                      	                   6
peak                     	peak                     	                   6
electronic               	electronic               	                   6
tracking                 	track                    	                   6
player                   	player                   	                   6
linear                   	linear                   	                   6
variables                	variable                 	                   6
functions                	function                 	                   6
complications            	complication             	                   6
objective                	objective                	                   6
pre                      	pre                      	                   6
thyroid                  	thyroid                  	                   6
summary                  	summary                  	                   6
growth                   	growth                   	                   6
failure                  	failure                  	                   6
layer                    	layer                    	                   6
randomized               	randomize                	                   6
dietary                  	dietary                  	                   6
